field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
WON-200,es;en,numero turbinas conjunto,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,numero_turbinas_conjunto,,numero_turbinas_conjunto;Listado de turbinas,not applicable;assumed;estimated,value in valid range,value between 1 and 500,false,false,false,review if outlier
WON-201,es;en,presupuesto capex USD,,USD,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,presupuesto_capex_USD,regex:([0-9]+\.?[0-9]*)\s*USD,presupuesto_capex_USD;Tabla 'CAPEX',not applicable;assumed;estimated,value in valid range,value between 1000000 and 5000000000,false,false,false,review if outlier
WON-202,es;en,vida util anos,,años,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,vida_util_anos,regex:([0-9]+\.?[0-9]*)\s*años,vida_util_anos;Tabla 'Useful life',not applicable;assumed;estimated,value in valid range,value between 15 and 30,false,false,false,review if outlier
WON-096,es;en,assumed wind class iec,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_wind_class_iec,,assumed_wind_class_iec;IEC class,not applicable;assumed;estimated,value in valid range,value between IEC_IA and IEC_IV,false,false,false,review if outlier
WON-097,es;en,assumed hub height m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_hub_height_m,regex:([0-9]+\.?[0-9]*)\s*m,assumed_hub_height_m;hub height,not applicable;assumed;estimated,value in valid range,value between 20 and 250,false,false,false,review if outlier
WON-098,es;en,assumed rotor diameter m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_rotor_diameter_m,regex:([0-9]+\.?[0-9]*)\s*m,assumed_rotor_diameter_m;rotor diameter,not applicable;assumed;estimated,value in valid range,value between 10 and 300,false,false,false,review if outlier
WON-099,es;en,assumed rated power kw,,kW,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_rated_power_kw,regex:([0-9]+\.?[0-9]*)\s*kW,assumed_rated_power_kw;rated power,not applicable;assumed;estimated,value in valid range,value between 100 and 20000,false,false,false,review if outlier
WON-106,es;en,assumed soil bearing capacity kpa,,kPa,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_soil_bearing_capacity_kpa,regex:([0-9]+\.?[0-9]*)\s*kPa,assumed_soil_bearing_capacity_kpa;bearing capacity,not applicable;assumed;estimated,value in valid range,value between 10 and 1000,false,false,false,review if outlier
WON-107,es;en,assumed active fault distance km,,km,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_active_fault_distance_km,regex:([0-9]+\.?[0-9]*)\s*km,assumed_active_fault_distance_km;active fault distance,not applicable;assumed;estimated,value in valid range,value between 0 and 500,false,false,false,review if outlier
WON-108,es;en,assumed pcc voltage kv,,kV,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_pcc_voltage_kv,regex:([0-9]+\.?[0-9]*)\s*kV,assumed_pcc_voltage_kv;PCC voltage,not applicable;assumed;estimated,value in valid range,value between 0.4 and 500,false,false,false,review if outlier
WON-109,es;en,assumed grid short circuit mva,,MVA,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_grid_short_circuit_mva,regex:([0-9]+\.?[0-9]*)\s*MVA,assumed_grid_short_circuit_mva;short circuit,not applicable;assumed;estimated,value in valid range,value between 1 and 10000,false,false,false,review if outlier
WON-300,es;en,assumed soil bearing capacity kpa,,kPa,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_soil_bearing_capacity_kpa,regex:([0-9]+\.?[0-9]*)\s*kPa,assumed_soil_bearing_capacity_kpa;bearing capacity,not applicable;assumed;estimated,value in valid range,value between 10 and 1000,false,false,false,review if outlier
WON-301,es;en,assumed active fault distance km,,km,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_active_fault_distance_km,regex:([0-9]+\.?[0-9]*)\s*km,assumed_active_fault_distance_km;active fault distance,not applicable;assumed;estimated,value in valid range,value between 0 and 500,false,false,false,review if outlier
WON-302,es;en,assumed pcc voltage kv,,kV,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_pcc_voltage_kv,regex:([0-9]+\.?[0-9]*)\s*kV,assumed_pcc_voltage_kv;PCC voltage,not applicable;assumed;estimated,value in valid range,value between 0.4 and 500,false,false,false,review if outlier
WON-303,es;en,assumed grid short circuit mva,,MVA,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_grid_short_circuit_mva,regex:([0-9]+\.?[0-9]*)\s*MVA,assumed_grid_short_circuit_mva;short circuit,not applicable;assumed;estimated,value in valid range,value between 1 and 10000,false,false,false,review if outlier
WON-304,es;en,assumed aep mwh year,,MWh/year,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_aep_mwh_year,regex:([0-9]+\.?[0-9]*)\s*MWh/year,assumed_aep_mwh_year;AEP,not applicable;assumed;estimated,value in valid range,value between 1 and 1000000,false,false,false,review if outlier
WON-305,es;en,assumed transport weight ton,,ton,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_transport_weight_ton,regex:([0-9]+\.?[0-9]*)\s*ton,assumed_transport_weight_ton;max transport weight,not applicable;assumed;estimated,value in valid range,value between 1 and 200,false,false,false,review if outlier
WON-306,es;en,assumed crane capacity ton,,ton,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_crane_capacity_ton,regex:([0-9]+\.?[0-9]*)\s*ton,assumed_crane_capacity_ton;crane capacity,not applicable;assumed;estimated,value in valid range,value between 10 and 1500,false,false,false,review if outlier
WON-307,es;en,assumed road gradient max pct,,percent,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_road_gradient_max_pct,regex:([0-9]+\.?[0-9]*)\s*percent,assumed_road_gradient_max_pct;max road gradient,not applicable;assumed;estimated,value in valid range,value between 0 and 15,false,false,false,review if outlier
